ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.CodigoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.CodigoPublicoNaLegAtual;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.NomeParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.NomeCompletoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.SexoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.FormaTratamento;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlFotoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlPaginaParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlPaginaParticular;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.EmailParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.Telefones.Telefone.NumeroTelefone;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.Telefones.Telefone.OrdemPublicacao;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.Telefones.Telefone.IndicadorFax;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.SiglaPartidoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.UfParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.MembroMesa;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.IdentificacaoParlamentar.MembroLideranca;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.CodigoMandato;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.UfParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.PrimeiraLegislaturaDoMandato.NumeroLegislatura;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.PrimeiraLegislaturaDoMandato.DataInicio;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.PrimeiraLegislaturaDoMandato.DataFim;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.SegundaLegislaturaDoMandato.NumeroLegislatura;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.SegundaLegislaturaDoMandato.DataInicio;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.SegundaLegislaturaDoMandato.DataFim;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.DescricaoParticipacao;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Titular.DescricaoParticipacao;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Titular.CodigoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Titular.NomeParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Suplentes.Suplente.DescricaoParticipacao;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Suplentes.Suplente.CodigoParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Suplentes.Suplente.NomeParlamentar;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Exercicios.Exercicio.CodigoExercicio;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Exercicios.Exercicio.DataInicio;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Exercicios.Exercicio.DataFim;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Exercicios.Exercicio.SiglaCausaAfastamento;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Exercicios.Exercicio.DescricaoCausaAfastamento;ListaParlamentarEmExercicio.Parlamentares.Parlamentar.Mandato.Exercicios.Exercicio.DataLeitura
945;855;Alvaro Dias;Alvaro Fernandes Dias;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador945.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/945;https://www.alvarodias.com.br/;sen.alvarodias@senado.leg.br;33034059;1;Não;PODEMOS;PR;Não;Sim;;;;;;;;;;;;;;;;;;;;;
945;855;Alvaro Dias;Alvaro Fernandes Dias;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador945.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/945;https://www.alvarodias.com.br/;sen.alvarodias@senado.leg.br;33034060;2;Não;PODEMOS;PR;Não;Sim;;;;;;;;;;;;;;;;;;;;;
945;855;Alvaro Dias;Alvaro Fernandes Dias;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador945.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/945;https://www.alvarodias.com.br/;sen.alvarodias@senado.leg.br;33032941;3;Sim;PODEMOS;PR;Não;Sim;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;514;PR;55;2015-02-01;2019-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;514;PR;;;;56;2019-02-01;2023-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;514;PR;;;;;;;Titular;;;;1º Suplente;5609;Joel Malucelli;;;;;;
;;;;;;;;;;;;;;;;;514;PR;;;;;;;Titular;;;;2º Suplente;5611;Severino Araujo;;;;;;
;;;;;;;;;;;;;;;;;514;PR;;;;;;;Titular;;;;;;;2755;2015-02-01;;;;
5967;832;Angelo Coronel;Angelo Mario Coronel de Azevedo Martins;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967;;sen.angelocoronel@senado.leg.br;33036103;1;Não;PSD;BA;Não;Não;;;;;;;;;;;;;;;;;;;;;
5967;832;Angelo Coronel;Angelo Mario Coronel de Azevedo Martins;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967;;sen.angelocoronel@senado.leg.br;33036105;3;Não;PSD;BA;Não;Não;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;554;BA;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;554;BA;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;554;BA;;;;;;;Titular;;;;1º Suplente;5837;Davidson Magalhães;;;;;;
;;;;;;;;;;;;;;;;;554;BA;;;;;;;Titular;;;;2º Suplente;5056;Silvia Nascimento Cardoso dos Santos Cerqueira;;;;;;
;;;;;;;;;;;;;;;;;554;BA;;;;;;;Titular;;;;;;;2889;2019-02-01;;;;
6295;945;Carlos Fávaro;Carlos Henrique Baqueta Fávaro;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6295.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6295;;sen.carlosfavaro@senado.leg.br;33036408;1;Não;PSD;MT;Não;Sim;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;592;MT;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;592;MT;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;592;MT;;;;;;;Titular;;;;1º Suplente;6304;Margareth Gettert Busetti;;;;;;
;;;;;;;;;;;;;;;;;592;MT;;;;;;;Titular;;;;2º Suplente;6305;José Esteves de Lacerda Filho;;;;;;
;;;;;;;;;;;;;;;;;592;MT;;;;;;;Titular;;;;;;;2960;2020-12-15;;;;
5936;949;Carlos Portinho;Carlos Francisco Portinho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5936.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5936;https://www.facebook.com/portinho.rio;sen.carlosportinho@senado.leg.br;33036640;1;Não;PL;RJ;Não;Sim;;;;;;;;;;;;;;;;;;;;;
5936;949;Carlos Portinho;Carlos Francisco Portinho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5936.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5936;https://www.facebook.com/portinho.rio;sen.carlosportinho@senado.leg.br;33036613;2;Não;PL;RJ;Não;Sim;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;545;RJ;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;545;RJ;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;545;RJ;;;;;;;1º Suplente;Titular;751;Arolde de Oliveira;;;;;;;;;
;;;;;;;;;;;;;;;;;545;RJ;;;;;;;1º Suplente;;;;2º Suplente;5934;Renata Guerra;;;;;;
;;;;;;;;;;;;;;;;;545;RJ;;;;;;;1º Suplente;;;;;;;2959;2020-11-03;;;;
5990;843;Carlos Viana;Carlos Alberto Dias Viana;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5990;;sen.carlosviana@senado.leg.br;33033100;1;Não;MDB;MG;Não;Sim;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;563;MG;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;563;MG;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;563;MG;;;;;;;Titular;;;;1º Suplente;5991;Castellar Guimarães Neto;;;;;;
;;;;;;;;;;;;;;;;;563;MG;;;;;;;Titular;;;;2º Suplente;5992;Danilo Martins de Oliveira;;;;;;
;;;;;;;;;;;;;;;;;563;MG;;;;;;;Titular;;;;;;;2892;2019-02-01;;;;
470;815;Chico Rodrigues;Francisco de Assis Rodrigues;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador470.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/470;;sen.chicorodrigues@senado.leg.br;33032281;1;Não;DEM;RR;Não;Não;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;577;RR;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;577;RR;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;577;RR;;;;;;;Titular;;;;1º Suplente;6023;Pedro Arthur;;;;;;
;;;;;;;;;;;;;;;;;577;RR;;;;;;;Titular;;;;2º Suplente;6024;Onésimo Cruz;;;;;;
;;;;;;;;;;;;;;;;;577;RR;;;;;;;Titular;;;;;;;2965;2021-02-18;;;;
;;;;;;;;;;;;;;;;;577;RR;;;;;;;Titular;;;;;;;2905;2019-02-01;2020-10-20;LP;Licença Particular;
5973;825;Cid Gomes;Cid Ferreira Gomes;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973;;sen.cidgomes@senado.leg.br;33036460;1;Não;PDT;CE;Não;Sim;;;;;;;;;;;;;;;;;;;;;
5973;825;Cid Gomes;Cid Ferreira Gomes;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973;;sen.cidgomes@senado.leg.br;33036399;2;Não;PDT;CE;Não;Sim;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;556;CE;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;556;CE;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;556;CE;;;;;;;Titular;;;;1º Suplente;5971;Prisco Bezerra;;;;;;
;;;;;;;;;;;;;;;;;556;CE;;;;;;;Titular;;;;2º Suplente;5972;Julio Ventura;;;;;;
;;;;;;;;;;;;;;;;;556;CE;;;;;;;Titular;;;;;;;2953;2020-04-11;;;;
;;;;;;;;;;;;;;;;;556;CE;;;;;;;Titular;;;;;;;2895;2019-02-01;2019-12-11;LP;Licença Particular;
475;867;Confúcio Moura;Confúcio Aires Moura;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador475.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/475;https://senadorconfucio.com.br/;sen.confuciomoura@senado.leg.br;33032470;1;Não;MDB;RO;Não;Não;;;;;;;;;;;;;;;;;;;;;
475;867;Confúcio Moura;Confúcio Aires Moura;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador475.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/475;https://senadorconfucio.com.br/;sen.confuciomoura@senado.leg.br;33032163;2;Não;MDB;RO;Não;Não;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;575;RO;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;575;RO;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;575;RO;;;;;;;Titular;;;;1º Suplente;6019;Maria Eliza;;;;;;
;;;;;;;;;;;;;;;;;575;RO;;;;;;;Titular;;;;2º Suplente;6020;Carlos Milton Morais;;;;;;
;;;;;;;;;;;;;;;;;575;RO;;;;;;;Titular;;;;;;;2974;2022-01-25;;;;
;;;;;;;;;;;;;;;;;575;RO;;;;;;;Titular;;;;;;;2897;2019-02-01;2021-09-24;LCS;Licença com convocação de suplente (sup 120 dias);
5998;820;Daniella Ribeiro;Daniella Velloso Borges Ribeiro;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5998.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5998;;sen.daniellaribeiro@senado.leg.br;33036788;1;Não;PP;PB;Não;Sim;;;;;;;;;;;;;;;;;;;;;
5998;820;Daniella Ribeiro;Daniella Velloso Borges Ribeiro;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5998.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5998;;sen.daniellaribeiro@senado.leg.br;33036790;2;Não;PP;PB;Não;Sim;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;565;PB;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;565;PB;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;565;PB;;;;;;;Titular;;;;1º Suplente;5996;Diego Tavares;;;;;;
;;;;;;;;;;;;;;;;;565;PB;;;;;;;Titular;;;;2º Suplente;5997;Nailde Panta;;;;;;
;;;;;;;;;;;;;;;;;565;PB;;;;;;;Titular;;;;;;;2964;2021-01-22;;;;
;;;;;;;;;;;;;;;;;565;PB;;;;;;;Titular;;;;;;;2898;2019-02-01;2020-09-23;LP;Licença Particular;
3830;834;Davi Alcolumbre;David Samuel Alcolumbre Tobelem;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3830.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/3830;;sen.davialcolumbre@senado.leg.br;33036717;1;Não;DEM;AP;Não;Não;;;;;;;;;;;;;;;;;;;;;
3830;834;Davi Alcolumbre;David Samuel Alcolumbre Tobelem;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3830.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/3830;;sen.davialcolumbre@senado.leg.br;33036720;2;Não;DEM;AP;Não;Não;;;;;;;;;;;;;;;;;;;;;
3830;834;Davi Alcolumbre;David Samuel Alcolumbre Tobelem;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3830.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/3830;;sen.davialcolumbre@senado.leg.br;33036723;4;Não;DEM;AP;Não;Não;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;501;AP;55;2015-02-01;2019-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;501;AP;;;;56;2019-02-01;2023-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;501;AP;;;;;;;Titular;;;;1º Suplente;5569;Josiel;;;;;;
;;;;;;;;;;;;;;;;;501;AP;;;;;;;Titular;;;;2º Suplente;5571;Marquinho;;;;;;
;;;;;;;;;;;;;;;;;501;AP;;;;;;;Titular;;;;;;;2732;2015-02-01;;;;
5537;928;Dário Berger;Dário Elias Berger;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5537.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5537;https://www.darioberger.com.br/;sen.darioberger@senado.leg.br;33035947;1;Não;MDB;SC;Não;Não;;;;;;;;;;;;;;;;;;;;;
5537;928;Dário Berger;Dário Elias Berger;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5537.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5537;https://www.darioberger.com.br/;sen.darioberger@senado.leg.br;33035951;2;Não;MDB;SC;Não;Não;;;;;;;;;;;;;;;;;;;;;
5537;928;Dário Berger;Dário Elias Berger;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5537.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5537;https://www.darioberger.com.br/;sen.darioberger@senado.leg.br;33035955;3;Sim;MDB;SC;Não;Não;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;499;SC;55;2015-02-01;2019-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;499;SC;;;;56;2019-02-01;2023-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;499;SC;;;;;;;Titular;;;;1º Suplente;336;Paulo Gouvêa;;;;;;
;;;;;;;;;;;;;;;;;499;SC;;;;;;;Titular;;;;2º Suplente;5631;Ayres Marchetti;;;;;;
;;;;;;;;;;;;;;;;;499;SC;;;;;;;Titular;;;;;;;2731;2015-02-01;;;;
4994;802;Eduardo Braga;Carlos Eduardo de Souza Braga;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4994.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4994;;sen.eduardobraga@senado.leg.br;33036230;1;Não;MDB;AM;Não;Sim;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;521;AM;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;521;AM;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;521;AM;;;;;;;Titular;;;;1º Suplente;5038;Sandra Braga;;;;;;
;;;;;;;;;;;;;;;;;521;AM;;;;;;;Titular;;;;2º Suplente;5935;Miguel Biango;;;;;;
;;;;;;;;;;;;;;;;;521;AM;;;;;;;Titular;;;;;;;2893;2019-02-01;;;;
5976;826;Eduardo Girão;Luis Eduardo Grangeiro Girão;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5976.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5976;;sen.eduardogirao@senado.leg.br;33036677;1;Não;PODEMOS;CE;Não;Sim;;;;;;;;;;;;;;;;;;;;;
